X,Y,OBJECTID,Model,Type,Bulb_Type,Wattage,Voltage,Address_Number,Street,City,Light_Fixture_Theme,DATASOURCE,Permit_Number,CartegraphID,SHAPE,Retired,Status,MacID,TEP_Account_Number,Power_Pedestal_ID
993437.077755906,431651.64895013,13037,ATBM A R3,Autobahn,LED,60,480,3501,S 6th Av,Tucson,Other,TDOT_STREETLIGHTS,,8134,,,Active,00F1101E,3310004153,482
993441.028215222,431554.542322837,13038,ATBM A R3,Autobahn,LED,60,480,3521,S 6th Av,Tucson,Other,TDOT_STREETLIGHTS,,8135,,,Active,00F1106C,3310004153,482
993440.041338582,431455.936679788,13039,ATBM A R3,Autobahn,LED,60,480,3531,S 6th Av,Tucson,Other,TDOT_STREETLIGHTS,,8136,,,Active,00F15E16,3310004153,482
993434.903543308,431357.858595803,13040,ATBM A R3,Autobahn,LED,60,480,3541,S 6th Av,Tucson,Other,TDOT_STREETLIGHTS,,8137,,,Active,00F15E49,3310004153,482
993456.863188975,431267.623031497,13041,ATBM A R3,Autobahn,LED,60,480,3551,S 6th Av,Tucson,Other,TDOT_STREETLIGHTS,,8138,,,Active,00F15E54,3310004153,482
993450.4835958,431148.959645666,13042,ATBM A R3,Autobahn,LED,60,480,3561,S 6th Av,Tucson,Other,TDOT_STREETLIGHTS,,8139,,,Active,00F10327,3310004153,482
993329.068569552,432742.53871391,13043,ATBM A R3,Autobahn,LED,60,480,3324,S 6th Av,Tucson,Other,TDOT_STREETLIGHTS,,8140,,,Active,00F15E25,3310004153,482
993336.756889764,432642.554461941,13044,ATBM A R3,Autobahn,LED,60,480,3334,S 6th Av,Tucson,Other,TDOT_STREETLIGHTS,,8141,,,Active,00F100BC,3310004153,482
993338.881233595,432506.866141729,13045,ATBM A R3,Autobahn,LED,60,480,3354,S 6th Av,Tucson,Other,TDOT_STREETLIGHTS,,8142,,,Active,00F15DEC,3310004153,482
993439.83300525,432777.715223096,13046,ATBM A R3,Autobahn,LED,60,480,3325,S 6th Av,Tucson,Other,TDOT_STREETLIGHTS,,8143,,,Active,00F1002D,3310004153,482
986655.313648295,439858.501968503,13047,ATB2 60BLEDE85 MVOLT,Autobahn,LED,173,120,1151,W Starr Pass Bl,Tucson,Other,TDOT_STREETLIGHTS,,8165,,,Active,00F0EF47,2410000638,242
986570.728674542,439946.218832023,13048,ATB2 60BLEDE85 MVOLT,Autobahn,LED,173,120,1170,W Starr Pass Bl,Tucson,Other,TDOT_STREETLIGHTS,,8166,,,Active,00F0F56E,2410000638,242
986862.506561682,439929.906824149,13049,ATB2 60BLED10,Autobahn,LED,208,480,1127,W Starr Pass Bl,Tucson,Other,TDOT_STREETLIGHTS,,8167,,,Active,00F16016,2910004665,410
986941.154199474,439956.780839898,13050,ATB2 60BLED10,Autobahn,LED,208,480,1125,W Starr Pass Bl,Tucson,Other,TDOT_STREETLIGHTS,,8168,,,Active,00F1AA0B,2910004665,410
990759.006889764,445580.150918633,13051,LED 12W A-LAMP,Globe,LED,12,120,402,W Congress St,Tucson,Historic Reproduction Pole,TDOT_STREETLIGHTS,,8205,,,Active,,2910008076,447
990679.868438318,445565.269028872,13052,ATBS H R3 BZ,Autobahn,LED,60,240,406,W Congress St,Tucson,Other,TDOT_STREETLIGHTS,,8206,,,Active,00F1DAC1,2910008076,447
990552.706692912,445545.965879261,13053,ATBS H R3 BZ,Autobahn,LED,60,,408,W Congress St,Tucson,Other,TDOT_STREETLIGHTS,,8207,,,Active,00F1FAAE,2910008076,447
990469.347112861,445529.228674538,13054,LED 12W A-LAMP,Globe,LED,12,120,410,W Congress St,Tucson,Historic Reproduction Pole,TDOT_STREETLIGHTS,,8208,,,Active,,2910008076,447
990697.427821521,445463.638451442,13055,ATBS H R3 BZ,Autobahn,LED,60,240,405,W Congress St,Tucson,Other,TDOT_STREETLIGHTS,,8209,,,Active,00F1F4A2,2910008076,447
